Time (iso),RA (GCRS) [deg],Dec (GCRS) [deg],Distance (GCRS) [km]
2024-09-11 11:29:00.000,89.75864697066253,-44.10708920479114,7068.158172677331
2024-09-11 11:30:00.000,88.79444359413245,-40.52522880470838,7067.979723839358
2024-09-11 11:31:00.000,87.92823982531365,-36.93568645592996,7067.806763348197
2024-09-11 11:32:00.000,87.14008091436128,-33.339951497636775,7067.637673474922
2024-09-11 11:33:00.000,86.41450583923866,-29.73918028628127,7067.470898746188
2024-09-11 11:34:00.000,85.73928377821859,-26.134291544329624,7067.304988825499
2024-09-11 11:35:00.000,85.10453946103799,-22.52603193254564,7067.138639150369
2024-09-11 11:36:00.000,84.50213234067492,-18.91501985692875,7066.97072847365
2024-09-11 11:37:00.000,83.92520718889405,-15.301788555485874,7066.800353298573
2024-09-11 11:38:00.000,83.36785526885821,-11.68679632432536,7066.626856889614
2024-09-11 11:39:00.000,82.82485766484166,-8.07045507999762,7066.449854554082
2024-09-11 11:40:00.000,82.2914796592833,-4.4531428301502185,7066.269253038516
2024-09-11 11:41:00.000,81.76330081158694,-0.8352159175175435,7066.085264330889
2024-09-11 11:42:00.000,81.23606701021093,2.782980384155807,7065.89841347253
2024-09-11 11:43:00.000,80.70555384331686,6.401102124398146,7065.709540198735
2024-09-11 11:44:00.000,80.16743195838869,10.018797082639383,7065.519794332809
2024-09-11 11:45:00.000,79.61712531022269,13.635694646638457,7065.330624966658
2024-09-11 11:46:00.000,79.0496523697082,17.25139441968659,7065.143763568555
2024-09-11 11:47:00.000,78.45943833568373,20.86545266015446,7064.961201264504
2024-09-11 11:48:00.000,77.84008235992073,24.47736780503458,7064.785160526189
2024-09-11 11:49:00.000,77.18406087955046,28.086548931450686,7064.618062408899
2024-09-11 11:50:00.000,76.48232999342288,31.692301152407552,7064.462488110525
2024-09-11 11:51:00.000,75.72378945543171,35.29377602576263,7064.321137833292
2024-09-11 11:52:00.000,74.89453229523681,38.88991796440161,7064.196785843705
2024-09-11 11:53:00.000,73.97677290297646,42.47938365515597,7064.092233191875
